DATE,TMAX,TMIN
20130101,34,26
20130102,29.5,15
20130103,34.5,12
20130104,36.5,23
20130105,41,19
20130106,40,28
20130107,39.5,19
20130108,50,20
20130109,53.5,26.5
20130110,45,24
20130111,62,41
20130112,65.5,43
20130113,67,36
20130114,35,24
20130115,32,22
20130116,36,26
20130117,44,28
20130118,42,19
20130119,54,34
20130120,48,28
20130121,28,13.5
20130122,20,7
20130123,22,10
20130124,24,14
20130125,26,18
20130126,32.5,18
20130127,37.5,17
20130128,52,34
20130129,64,47
20130130,68,34
20130131,34,19
20130201,19,7
20130202,30.5,11.5
20130203,29,16
20130204,35,13
20130205,37,22.5
20130206,37,26.5
20130207,59,29
20130208,53.5,31.5
20130209,41,21
20130210,56,25
20130211,53,33
20130212,50,28
20130213,37,23
20130214,53,27
20130215,43,26
20130216,31.5,17.5
20130217,31.5,13
20130218,59,18.5
20130219,47,25
20130220,30.5,19
20130221,32,20
20130222,43,27
20130223,44,30
20130224,43,25
20130225,45.5,20.5
20130226,47,34
20130227,43,34
20130228,38,33
20130301,37,31
20130302,30.5,26.5
20130303,32,21
20130304,42,16
20130305,40,30
20130306,34,29
20130307,37.5,29
20130308,44,24.5
20130309,57,25
20130310,68,43
20130311,55,38
20130312,46,33
20130313,36,26
20130314,44,21
20130315,53,26
20130316,59,37
20130317,38,34
20130318,50,34
20130319,46,29
20130320,40,24
20130321,34,20
20130322,45,18
20130323,52,28
20130324,40,32
20130325,35,30
20130326,41.5,31.5
20130327,45,28
20130328,50.5,24.5
20130329,56,25
20130330,60.5,29
20130331,59.5,41
20130401,49,34
20130402,47.5,23
20130403,49,23
20130404,55,30
20130405,62,29
20130406,68,34
20130407,73.5,54.5
20130408,73,52
20130409,80.5,48
20130410,83,60
20130411,71,58
20130412,59,40
20130413,59,37
20130414,70.5,35.5
20130415,69,51
20130416,80,55
20130417,79,57
20130418,81,60
20130419,76,40
20130420,51,35.5
20130421,56,32.5
20130422,69,33
20130423,71,40
20130424,67,36
20130425,60,32
20130426,62,31
20130427,64,38
20130428,67.5,51.5
20130429,65,50
20130430,77,46
20130501,83,49
20130502,76,58
20130503,77,58
20130504,73.5,57
20130505,60,53
20130506,63,53
20130507,72,56
20130508,77.5,52
20130509,80.5,53
20130510,70,57
20130511,61.5,44.5
20130512,58,37.5
20130513,62,37
20130514,80,41
20130515,86,60
20130516,78,62
20130517,80,58
20130518,79,63
20130519,83,61.5
20130520,84.5,63.5
20130521,86,64.5
20130522,80,62
20130523,71,53
20130524,66.5,46.5
20130525,66,43
20130526,71,51
20130527,83,55
20130528,82.5,63
20130529,85,66.5
20130530,87.5,67
20130531,84.5,69
20130601,81,66.5
20130602,79,64.5
20130603,72,52
20130604,76,50
20130605,82,52
20130606,76,57
20130607,76,60
20130608,75,57
20130609,81,60
20130610,79,64
20130611,85,63
20130612,90,66
20130613,83,64
20130614,81,56
20130615,83,56
20130616,78,64
20130617,87,63
20130618,86,66
20130619,83,56
20130620,85,56
20130621,87,58
20130622,88,65
20130623,88,64
20130624,86,63
20130625,90,66.5
20130626,87,67
20130627,86,67
20130628,86,65
20130629,77.5,61
20130630,78.5,64
20130701,79,63
20130702,81,65
20130703,81,66
20130704,72.5,67
20130705,77.5,66
20130706,76.5,67
20130707,82.5,65
20130708,87,66
20130709,89,74
20130710,90,70
20130711,83,66
20130712,81.5,58.5
20130713,84,65.5
20130714,89.5,66.5
20130715,91,70
20130716,93,71
20130717,93,73
20130718,93.5,72.5
20130719,91,74
20130720,90,71
20130721,88,68
20130722,82,69
20130723,88,68
20130724,79,59
20130725,78,55
20130726,80,56
20130727,77,62
20130728,74.5,53.5
20130729,79,54
20130730,80,56
20130731,77.5,65
20130801,82,64
20130802,84,57
20130803,82,65
20130804,79.5,58.5
20130805,80,54
20130806,82,58
20130807,84,67
20130808,85,70
20130809,83,69
20130810,85,68
20130811,87,67.5
20130812,86,63
